entity_name|licensee_type_cd|license_number|status|BLANK|city|zip|county|entity_name|licensee_type_cd|license_number|status|expiration_date|first_issue_date|city|state|zip|county|Action
ACCEPTANCE NOW|C|61945|CLEAR||FREMONT|94538|ALAMEDA|ACCEPTANCE NOW|COMBINATION-ELECTRIC AND APPLIANCE REPAIR|61945|CLEAR Definition|February  29, 2016|September 06, 2011|FREMONT|CA|94538|ALAMEDA|No
ACCESS COMPUTERS|E|85032|CLEAR||DUBLIN|94568|ALAMEDA|ACCESS COMPUTERS|ELECTRONIC REPAIR|85032|CLEAR Definition|March     31, 2015|March     05, 2009|DUBLIN|CA|94568|ALAMEDA|No
ACCURA APPLIANCE|A|39345|CANCELLED||OAKLAND|94621|ALAMEDA|ACCURA APPLIANCE|MAJOR APPLIANCE REPAIR|39345|CANCELLED Definition|June      30, 1991|January   15, 1988|OAKLAND|CA|94621|ALAMEDA|No
ACCURATE APPLIANCE SERVICE AND REPAIR|A|40162|CANCELLED||FREMONT|94538|ALAMEDA|ACCURATE APPLIANCE SERVICE AND REPAIR|MAJOR APPLIANCE REPAIR|40162|CANCELLED Definition|June      30, 1991|February  15, 1990|FREMONT|CA|94538|ALAMEDA|No
ACCURATE REFRIGERATION|A|39861|CANCELLED||HAYWARD|94541|ALAMEDA|ACCURATE REFRIGERATION|MAJOR APPLIANCE REPAIR|39861|CANCELLED Definition|April     30, 1994|April     05, 1989|HAYWARD|CA|94541|ALAMEDA|No
ACCURATE REFRIGERATION|A|45316|CLEAR||HAYWARD|94545|ALAMEDA|ACCURATE REFRIGERATION|MAJOR APPLIANCE REPAIR|45316|CLEAR Definition|September 30, 2015|September 17, 2008|HAYWARD|CA|94545|ALAMEDA|No
ACCURATE TV|E|12229|CANCELLED||SAN LEANDRO|94577|ALAMEDA|ACCURATE TV|ELECTRONIC REPAIR|12229|CANCELLED Definition|June      30, 2001|January   13, 1971|SAN LEANDRO|CA|94577|ALAMEDA|No
ACE HEATING A/C & REF REP INC|A|39579|CANCELLED||OAKLAND|94611|ALAMEDA|ACE HEATING A/C & REF REP INC|MAJOR APPLIANCE REPAIR|39579|CANCELLED Definition|June      30, 1989|OAKLAND|CA|94611|ALAMEDA|No
ACE REPAIR CENTER|E|73147|CANCELLED||SAN LEANDRO|94578|ALAMEDA|ACE REPAIR CENTER|ELECTRONIC REPAIR|73147|CANCELLED Definition|December  31, 1995|December  30, 1994|SAN LEANDRO|CA|94578|ALAMEDA|No
ACE TV & ELECTRONICS SERVICE|E|18607|REVOKED||OAKLAND|94606|ALAMEDA|ACE TV & ELECTRONICS SERVICE|ELECTRONIC REPAIR|18607|REVOKED Definition|June      30, 1977|June      27, 1977|OAKLAND|CA|94606|ALAMEDA|No
ACE TV SERVICE|E|26990|CANCELLED||HAYWARD|94541|ALAMEDA|ACE TV SERVICE|ELECTRONIC REPAIR|26990|CANCELLED Definition|June      30, 1990|January   04, 1988|HAYWARD|CA|94541|ALAMEDA|No
ACOM, INC.|E|73249|CANCELLED||FREMONT|94538|ALAMEDA|ACOM, INC.|ELECTRONIC REPAIR|73249|CANCELLED Definition|February  28, 1998|February  08, 1995|FREMONT|CA|94538|ALAMEDA|No
ACROTEK COMPUTER, INC.|E|74918|CANCELLED||SAN LEANDRO|94578|ALAMEDA|ACROTEK COMPUTER, INC.|ELECTRONIC REPAIR|74918|CANCELLED Definition|August    31, 2005|August    27, 1996|SAN LEANDRO|CA|94578|ALAMEDA|No
ACTION APPLIANCE & REFRIGERATION REPAIR CO|A|41745|CANCELLED||BERKELEY|94610|ALAMEDA|ACTION APPLIANCE & REFRIGERATION REPAIR CO|MAJOR APPLIANCE REPAIR|41745|CANCELLED Definition|June      30, 1996|June      10, 1994|BERKELEY|CA|94610|ALAMEDA|No
ACTION APPLIANCE & REFRIGERATION REPAIR CO|A|41744|CANCELLED||OAKLAND|94627|ALAMEDA|ACTION APPLIANCE & REFRIGERATION REPAIR CO|MAJOR APPLIANCE REPAIR|41744|CANCELLED Definition|June      30, 1996|June      10, 1994|OAKLAND|CA|94627|ALAMEDA|No
ACURA ELECTRONICS REPAIR|E|73488|CANCELLED||ALAMEDA|94501|ALAMEDA|ACURA ELECTRONICS REPAIR|ELECTRONIC REPAIR|73488|CANCELLED Definition|May       31, 1996|May       09, 1995|ALAMEDA|CA|94501|ALAMEDA|No
